id,Titre en anglais,Titre en Japonais,Editeurs,Code JPN,Code USA,Sortie JPN,Sortie USA,Main Category,Sub Category
0775,Onita Atsushi FMW,大仁田厚 FMW,ポニーキャニオン / Pony Canyon,SHVC-OA-(R98V5946),,1993-08-06,,Sports,Wrestling
0776,Onizuka Katsuya Super Virtual Boxing,鬼塚勝也スーパーヴァーチャルボクシング 〜真拳闘王伝説〜,ソフエル / Sofel,SHVC-OV,,1993-11-26,,Sports,Boxing
0777,Oraga Land Shusai: Best Farmer Shuukaku Sai,おらがランド主催 ベストファーマー収穫祭,ビック東海 / Vic Tokai / Nitto,SHVC-ACUJ-JPN,,1995-03-17,,Puzzle,
0778,Ossu!! Karate-bu,押忍！！空手部,カルチャーブレーン / Culture Brain,SHVC-OJ,,1994-08-26,,Fighting,Versus
0779,Othello World,オセロワールド,ツクダオリジナル / ダイス / Tsukuda Original / Dice,SHVC-TO,,1992-04-05,,Table Game,Othello
0780,Otoboke Ninja Colosseum,おとぼけ忍者コロシアム,インテック / ミント / Intec / Mint,SHVC-AOCJ-JPN,,1995-02-25,,Puzzle,Bomberman
0781,Otogirisou,弟切草,チュンソフト / Chun Soft,SHVC-OT,,1992-03-07,,Sound Novel,Horror
0782,Ouchan no Oekaki Logic,おーちゃんのお絵かきロジック,サンソフト（サン電子） / Sunsoft (Sun Electronics),SHVC-AOUJ-JPN,,1995-12-01,,Puzzle,Picross
0783,Outer World (Another World),アウター・ワールド,ビクター音楽産業 / Victor Musical Industries / Interplay / Delphine Software,SHVC-TW,,1992-11-27,,Aventure,
0784,P-Man,P・マン,ケムコ（コトブキシステム） / Kemco / Titus,SHVC-APUJ-JPN,SNS-APUE-USA,1995-06-23,,Platformer,
0785,Pac-In-Time,パックインタイム,ナムコ / Namcot,SHVC-APTJ-JPN,SNS-APTE-USA,1995-01-03,1995-01-01,Platformer,
0786,Pachi Slot Kenkyuu,パチスロ研究,魔法株式会社 / Magical Company,SHVC-77,,1994-07-15,,Gambling,Pachinko
0787,Pachi Slot Shoubushi,ギャンブラー パチスロ勝負師,日本物産（ニチブツ） / Nihon Bussan (Nichibutsu),SHVC-AGAJ-JPN,,1994-12-23,,Gambling,Pachinko
0788,Pachi-Slot Kanzen Kouryaku - Universal Shindai Nyuuka Volume 1,パチスロ完全攻略 ユニバーサル新台入荷 Volume 1,日本シスコン / Nihon Syscom,SHVC-AUYJ-JPN,,1997-03-07,,Gambling,Pachinko
0789,Pachi-Slot Land - Pachi Pachi Coin no Densetsu,パチスロランド ぱちぱちコインの伝説,カロッツェリアジャパン / Carrozzeria Japan,SHVC-7P,,1994-02-25,,Gambling,Pachinko
0790,Pachi-Slot Love Story,ラブストーリー パチスロ,ココナッツ・ジャパン / Coconuts Japan,SHVC-P5,,1993-11-19,,Gambling,Pachinko
0791,Pachi-Slot Monogatari - PAL Kougyou Special,パチスロ物語 パル工業スペシャル,日本ソフトシステム / ケイエスエス / Nihon Soft System / KSS,SHVC-A2WJ-JPN,,1995-10-27,,Gambling,Pachinko
0792,Pachi-Slot Monogatari - Universal Special,パチスロ物語 ユニバーサル・スペシャル,ケイエスエス / KSS,SHVC-9K,,1994-07-29,,Gambling,Pachinko
0793,Pachinko Challenger,パチンコチャレンジャーV,カロッツェリアジャパン / Carrozzeria Japan,SHVC-APVJ-JPN,,1995-07-07,,Gambling,Pachinko
0794,Pachinko Fan - Shouri Sengen,パチンコファン 勝利宣言,プランニングオフィスワダ（パウ） / Planning Office WADA (POW),SHVC-APSJ-JPN,,1994-10-15,,Gambling,Pachinko
0795,Pachinko Maruhi Hisshouhou,パチンコ○秘必勝法,バップ / パチンコ○秘情報編集部 / VAP (NTV),SHVC-APKJ-JPN,,1994-11-18,,Gambling,Pachinko
0796,Pachinko Monogatari - Pachi-Slot mo Aru deyo!!,パチンコ物語 パチスロもあるでよ！！,ケイエスエス / KSS,SHVC-KS,,1993-05-28,,Gambling,Pachinko
0797,Pachinko Monogatari 2 - Nagoya Shachihoko no Teiou,パチンコ物語2 名古屋シャチホコの帝王,ケイエスエス / KSS,SHVC-A2PJ-JPN,,1995-01-27,,Gambling,Pachinko
0798,Pachinko Renchan Tengoku - Super CR Special,パチンコ 連チャン天国 スーパーCRスペシャル,バップ / パチンコ○秘情報編集部 / VAP (NTV),SHVC-ALCJ-JPN,,1995-05-26,,Gambling,Pachinko
0799,Pachinko Tetsujin - Nanaban Shoubu,,,,,,,Gambling,Pachinko
0800,Pachinko Wars,パチンコウォーズ,ココナッツ・ジャパン / エルステッド / Coconuts Japan / Orested,SHVC-PC,,1992-07-17,,Gambling,Pachinko
0801,Pachinko Wars II,パチンコウォーズII,ココナッツジャパン / エルステッド / Coconuts Japan / Orested,SHVC-P6,,1993-12-17,,Gambling,Pachinko
0802,Pachiokun Special,スペシャル パチ夫くんSPECIAL,ココナッツ・ジャパン / Coconuts Japan,SHVC-PA,,1992-12-11,,Gambling,Pachinko
0803,Pachiokun Special 2,パチ夫くん スペシャル2,ココナッツ・ジャパン / Coconuts Japan,SHVC-OC,,1994-05-20,,Gambling,Pachinko
0804,Pachiokun Special 3,パチ夫くん スペシャル3,ココナッツジャパン エンターテイメント / Coconuts Japan,SHVC-AP3J-JPN,,1995-12-01,,Gambling,Pachinko
0805,Panel de Pon,パネルでポン,任天堂 / インテリジェントシステムズ / Nintendo / Intelligent Systems,SHVC-AYLJ-JPN,,1995-10-27,,Puzzle,Matching
0806,Panic in Nakayoshi World,パニック イン なかよしワールド,バンダイ / トムクリエイト / Bandai / Tom Create,SHVC-ANAJ-JPN,,1994-11-18,,Puzzle,Action
0807,Parlor! Mini - Pachinko Jikki Simulation,パーラー！ミニ Parlor! Mini パチンコ実機シミュレーションゲーム,日本テレネット / Telenet Japan,SHVC-AQAJ-JPN,,1996-04-26,,Gambling,Pachinko
0808,Parlor! Mini 2 - Pachinko Jikki Simulation,パーラー！ミニ2 Parlor ! Mini 2 パチンコ実機シミュレーションゲーム,日本テレネット / Telenet Japan,SHVC-AQCJ-JPN,,1996-06-28,,Gambling,Pachinko
