id,Titre en anglais,Titre en Japonais,Editeurs,Code JPN,Code USA,Sortie JPN,Sortie USA,Main Category,Sub Category
0332,Gakkou de Atta Kowai Hanashi,学校であった怖い話,バンプレスト / パンドラボックス / Banpresto / Pandora Box,SHVC-AHXJ-JPN,,1995-08-04,,Visual Novel,Horror
0333,Galaxy Robo,ギャラクシーロボ,イマジニアズーム / Imagineer-Zoom,SHVC-XY,,1994-03-11,,Strategy,
0334,Galaxy Wars,ギャラクシーウォーズ,イマジニアズーム / Imagineer-Zoom / Universal,SHVC-AGWJ-JPN,,1995-01-13,,SHMUP,Vertical
0335,Gambler Jiko Chuushinha - Mahjong Kouisen,ぎゅわんぶらあ自己中心派 麻雀皇位戦,パルソフト（エスエムエス） / パック・イン・ビデオ / ゲームアーツ / イエローホーン / Palsoft / Pack-in-Video / GameArts / Yellow Horn,SHVC-GJ,,1992-09-25,,Table Game,Mahjong
0336,Gambler Jiko Chuushinha 2: Dorapon Quest,ぎゅわんぶらあ自己中心派2 ドラポンクエスト,パック・イン・ビデオ / ゲームアーツ / イエローホーン / Pack-in-Video / GameArts / Yellow Horn,SHVC-8G,,1994-03-18,,Table Game,Mahjong
0337,Gambling Hourouki,ギャンブル放浪記,バップ / VAP (NTV),SHVC-A7BJ-JPN,,1996-03-22,,Gambling,Casino
0338,Game no Tatsujin,ゲームの達人 麻雀, 将棋 / ブレイス / 連珠 / サンソフト（サン電子） / サクセス / Sunsoft (Sun Electronics) / Success,SHVC-AGEJ-JPN,,1995-08-11,,Table Game,Shougi
0339,Game no Tetsujin - The Shanghai,ゲームの鉄人 The上海,サンソフト（サン電子） / アクティビジョン / Sunsoft (Sun Electronics) / Activision,SHVC-A2GJ-JPN,,1995-10-13,,Puzzle,
0340,Gamera - Gyaosu Gekimetsu Sakusen,ガメラ ギャオス撃滅作戦,サミー / アクシズ アート アミューズ / Sammy / Axes Art Amuse,SHVC-AGIJ-JPN,,1995-06-30,,Strategy,
0341,Gan Gan Gan-Chan,ガンガンガンチャン,マジファクト / Magifact,SHVC-AGQJ-JPN,,1995-10-27,,Puzzle,Action
0342,Ganbare Goemon - Yuki Hime Kyuushutsu Emaki,がんばれゴエモン ゆき姫救出絵巻,コナミ / Konami,SHVC-GG,SNS-GG,1991-07-19,,Platformer,
0343,Ganbare Goemon 2 - Kiteretsu Shougun Magginesu,がんばれゴエモン2 奇天烈将軍マッギネス,コナミ / Konami,SHVC-KL,,1993-12-22,,Platformer,
0344,Ganbare Goemon 3 - Shishi Juuroku Hyoue no Karakuri Manjigatame,がんばれゴエモン3 獅子重禄兵衛のからくり卍固め,コナミ / Konami,SHVC-2U,,1994-12-16,,Platformer,
0345,Ganbare Goemon 4 - Kirakira Douchuu - Boku ga Dancer ni Natta Riyuu,がんばれゴエモン きらきら道中 僕がダンサーになった理由,コナミ / Konami,SHVC-A4GJ-JPN,,1995-12-22,,Platformer,
0346,Ganbare! Daiku no Gensan,がんばれ！大工の源さん,アイレム / IREM,SHVC-EZ,,1993-12-22,,Platformer,Action
0347,Ganpuru - Strange World Gunman's Proof,ガンプル,アスキー / レナール / ASCII / Lenar,SHVC-AXAJ-JPN,,1997-01-31,,RPG,Action
0348,Ganso Pachinko Ou,元祖パチンコ王,ココナッツジャパン / Coconuts Japan,SHVC-OY,,1994-12-22,,Gambling,Pachinko
0349,Ganso Pachisuro Nipponichi,元祖パチスロ日本一,ココナッツジャパン / Coconuts Japan,SHVC-O4,,1994-11-25,,Gambling,Pachinko
0350,Garou Densetsu - Shukumei no Tatakai,餓狼伝説 宿命の闘い,タカラ / タカラ アミューズメント / エス・エヌ・ケイ / Takara / SNK,SHVC-GN,,1992-11-27,,Fighting,Versus
0351,Garou Densetsu 2 - Aratanaru Tatakai,餓狼伝説2 —新たなる闘い—,タカラ / エス・エヌ・ケイ / Takara / SNK,SHVC-DJ,,1993-11-26,,Fighting,Versus
0352,Garou Densetsu Special,餓狼伝説 Special,タカラ / エス・エヌ・ケイ / Takara / SNK,SHVC-3R,SNS-3R,1994-07-29,,Fighting,Versus
0353,GD Leen,ガデュリン,セタ / Seta,SHVC-GD,,1991-05-28,,RPG,
0354,Gegege no Kitarou - Fukkatsu! Tenma Daiou,ゲゲゲの鬼太郎 復活！天魔大王,バンダイ / Bandai,SHVC-G4,,1993-02-05,,Platformer,
0355,Gegege no Kitarou: Youkai Donjara,ゲゲゲの鬼太郎 妖怪ドンジャラ,バンダイ / トムクリエイト / Bandai / Tom Create,SFT-0106-JPN,,1996-07-19,,Table Game,
0356,Gekisou Sentai Car Rangers,激走戦隊カーレンジャー 全開！レーサー戦士,バンダイ / ナツメ / Bandai / Natsume,SFT-0109-JPN,,1996-08-23,,Puzzle,Action
0357,Gekitotsu Dangan Jidousya Kessen - Battle Mobile,激突弾丸自動車決戦バトルモービル,システムサコム / System Sacom,SHVC-KV,,1993-06-25,,Racing,Fun
0358,Gekitou Burning Pro-Wrestling,激闘 バーニング・プロレス,ビー・ピー・エス / 浮世亭 / Bullet-Proof Software / Ukiyotei,SHVC-AWNJ-JPN,,1995-10-06,,Sports,Wrestling
0359,Genjuu Ryodan,幻獣旅団,アクセラ / クレアテック / Axela / Crea-Tech,SHVC-BGJJ-JPN,,1998-06-01,,Strategy,
0360,Genocide 2 (G2),ジェノサイド 2,ケムコ（コトブキシステム） / Kemco / BITS / Zoom,SHVC-2I,,1994-08-05,,Beat 'em All,   
0361,Getsumen no Anubis,月面のアヌビス,イマジニアズーム / マルチメディア インテリジェンス トランスファー（ミット） / Imagineer-Zoom / Multimedia Intelligence Transfer (MIT),SHVC-ALEJ-JPN,,1995-12-22,,Visual Novel,SF
0362,Ghost Chaser Densei,ゴーストチェイサー 電精,バンプレスト / ウィンキーソフト / Banpresto / Winkysoft,SHVC-ET,,1994-09-23,,Beat 'em All,
0363,Ghost Sweeper Mikami - Joreishi ha Nice Body,ゴーストスイーパー GS美神 〜除霊師はナイスバディ〜,バンダイ / バナレックス / Bandai / Banalex,SHVC-IR,,1993-09-23,,Beat 'em All,
0364,Ghoul Patrol,グールパトロール,ビクターエンタテインメント / ルーカスアーツ / Victor Entertainment / Lucas Arts,SHVC-AGJJ-JPN,SNS-AGJE-USA,1995-05-26,1994-01-01,Run n' Gun,
0365,Gindama Oyakata no Pachinko Hisshouhou,銀玉親方の実戦パチンコ必勝法,サミー / Sammy,SHVC-AJPJ-JPN,,1995-02-17,,Gambling,Pachinko
0366,Ginga Eiyuu Densetsu - Gionbana,祇園花,日本物産（ニチブツ） / Nihon Bussan (Nichibutsu),SHVC-AHFJ-JPN,,1994-12-16,,Table Game,
0367,Ginga Eiyuu Densetsu - Senjutsu Simulation,銀河英雄伝説,徳間ジャパンコミュニケーションズ / 徳間書店インターメディア / Tokuma Japan Communications / Tokuma Shoten Intermedia,SHVC-GE,,1992-09-25,,Strategy,
0368,Ginga Sengoku Gunyuuden Rai,銀河戦国群雄伝ライ,エンジェル / Angel,SHVC-AQPJ-JPN,,1996-03-08,,Strategy,
0369,Go Go Ackman 2,ゴーゴー アックマン2,バンプレスト / Banpresto,SHVC-A92J-JPN,,1995-07-21,,Platformer,
0370,Go Go Ackman 3,ゴーゴー アックマン3,バンプレスト / Banpresto,SHVC-AVPJ-JPN,,1995-12-15,,Platformer,
0371,Go! Go! Ackman,ゴー!ゴー!アックマン,バンプレスト / Banpresto,SHVC-ACKJ-JPN,,1994-12-23,,Platformer,
0372,Go! Go! Dodge League,ゴー！ゴー！ ドッジリーグ,パック・イン・ビデオ / メビオソフトウェア / Pack-in-Video / Mebio Software,SHVC-R5,,1993-09-24,,Sports,Dodgeball
0373,Godzilla - Kaijuu Dai Kessen,ゴジラ 怪獣大決戦,東宝 / アルファ・システム / TOHO / Alfa System,SHVC-AG2J-JPN,,1994-12-09,,Fighting,Versus
0374,Gokinjo Bouken Tai,ごきんじょ冒険隊,パイオニアLDC / ミント / Pioneer LDC / Mint / Studio Orphee,SHVC-A3LJ-JPN,,1996-05-24,,RPG,
0375,Gokujou Parodius - Kako no Eikou o Motomete,極上パロディウス 過去の栄光を求めて,コナミ / Konami,SHVC-AGPJ-JPN,,1994-11-25,,SHMUP,Horizontal
0376,GON,ゴン,バンダイ / Bandai,SHVC-AHOJ-JPN,,1994-11-11,,Platformer,
0377,Goofy to Max - Kaizoku Shima no Daibouken,グーフィーとマックス 海賊島の大冒険,カプコン / Capcom,SHVC-G6,,1994-07-22,,Puzzle,Réflexion
0378,Gouketuji Ichizoku,豪血寺一族,アトラス / Atlus,SHVC-AGKJ-JPN,SNS-AGKE-USA,1994-10-14,,Fighting,Versus
0379,Gourmet Sentai Bara Yarou,美食戦隊 薔薇野郎 ぐるめせんたい ばらやろう,ヴァージンインタラクティブ エンターテインメント / ウインズ / フューパック / Virgin Interactive Entertainment / Winds / Fupac,SHVC-AV6J-JPN,,1995-09-29,,Beat 'em All,
0380,Gousou Jinrai Densetsu - Musya,豪槍神雷伝説 武者,データム・ポリスター / Datam Polystar,SHVC-MY,,1992-04-21,,Beat 'em All,
0381,GP-1,GP-1,アトラス / 元気 / Atlus / Genki,SHVC-G7,SNS-G7,1993-06-25,1993-01-01,Racing,Formule 1
0382,GP-1 Part II,GP-1 - Rapid Stream,アトラス / 元気 / Atlus / Genki,SHVC-AGRJ-JPN,SNS-AGRE-USA,1994-11-18,,Racing,Formule 1
0383,Gradius III,グラディウスIII,コナミ / Konami,SHVC-G3,SNS-G3,1990-12-21,1991-08-01,SHMUP,Horizontal
0384,Granhistoria - Genshi Sekaiki,グランヒストリア 〜幻史世界記〜,バンプレスト / Banpresto,SHVC-AIRJ-JPN,,1995-06-30,,RPG,
0385,GT Racing,ジーティーレーシング,イマジニアズーム / Imagineer-Zoom,SHVC-AIKJ-JPN,,1996-03-29,,Racing,Formule 1
0386,Gunforce - Battle Fire Engulfed Terror Island,ガンフォース,アイレム / タムテックス / IREM / Tamtex / BITS,SHVC-GU,,1992-11-27,,Platformer,
0387,Habu Meijin no Omoshiro Shougi,羽生名人のおもしろ将棋,トミー / サムシンググッド / Tomy / Something Good,SHVC-IL,,1995-03-31,,Table Game,Shougi
0388,Hagane,鋼,ハドソン / レッド / シーエイプロダクション / Hudson / RED / CAProduction,SHVC-AHGJ-JPN,SNS-AHGE-USA,1994-11-18,1994-01-01,Beat 'em All,
0389,Hai Toride,牌砦 −トリデ−,タカラ / Takara / Metro,SHVC-ACSJ-JPN,,1994-12-09,,Puzzle,
0390,Haisei Mahjong Ryouga,牌勢麻雀 凌駕,アスキー / ASCII,SHVC-AMJJ-JPN,,1995-04-28,,Table Game,Mahjong
0391,Hakunetsu Pro Yakyuu - Ganba League,白熱プロ野球 ガンバリーグ,エピック・ソニーレコード （ソニー・ミュージックエンタテインメント） / Epic Sony Records,SHVC-GL-(ESPG38),,1991-08-09,,Sports,Baseball
0392,Hakunetsu Pro Yakyuu '93 - Ganba League,白熱プロ野球'93 ガンバリーグ,エピック・ソニーレコード （ソニー・ミュージックエンタテインメント） / Epic Sony Records,SHVC-GV-(ESPG47),,1992-12-11,,Sports,Baseball
0393,Hakunetsu Pro Yakyuu '94 - Ganba League 3,白熱プロ野球'94 ガンバリーグ3,エピック・ソニーレコード（ソニー・ミュージックエンタテインメント） / Epic Sony Records,SHVC-E3-(ESPG50),,1993-12-10,,Sports,Baseball
0394,Hamelin no Violin Hiki,ハーメルンのバイオリン弾き,エニックス / ダフト / Enix / DAFT,SHVC-AVNJ-JPN,,1995-09-29,,Platformer,
0395,Hana no Keiji: Kumo no Kanata ni,花の慶次 —雲のかなたに—,四次元 / パック・イン・ビデオ / Yojigen / Pack-in-Video,SHVC-AY4J-JPN,,1994-11-18,,Fighting,Versus
0396,Hanafuda Ou,花札王,ココナッツジャパン / Coconuts Japan,SHVC-IJ,,1994-12-16,,Table Game,
0397,Hanjuku Hero - Hanjuku Eiyuu Aa Sekai yo Hanjuku Nare...!!,はんじゅくヒーロー 半熟英雄 ああ、世界よ半熟なれ…！！,スクウェア / Square,SHVC-HH,,1992-12-19,,Strategy,
0398,Hansei Zaru Jirou-kun no Daibouken,反省ザル ジローくんの大冒険,ナツメ / Natsume,SHVC-HJ,,1991-12-27,,Platformer,
0399,Haou Taikei Ryuu Knight - Lord of Paladin,覇王大系リューナイト ロードオブパラディン,バンダイ / 日本アートメディア / Bandai / Japan Art Media (JAM),SHVC-UR,,1994-12-22,,RPG,Action
0400,Harapeko Bakka,はらぺこバッカ,魔法株式会社 / Magical Company,SHVC-ABKJ-JPN,,1994-10-19,,Puzzle,
0401,Harukanaru Augusta,遥かなるオーガスタ,ティーアンドイーソフト / T&E Soft,SHVC-GA,,1991-04-05,,Sports,Golf
0402,Harukanaru Augusta 2 - Masters,マスターズ 遥かなるオーガスタ2 MASTERS,ティーアンドイーソフト / T&E Soft,SHVC-O2,,1993-09-22,,Sports,Golf
0403,Harukanaru Augusta 3 - Masters New,マスターズ ニュー 遥かなるオーガスタ3 MASTERS New,ティーアンドイーソフト / T&E Soft,SHVC-AO3J-JPN,,1995-12-08,,Sports,Golf
0404,Hashire Hebereke,はしれへべれけ,サンソフト（サン電子） / Sunsoft (Sun Electronics),SHVC-AHHJ-JPN,,1994-12-22,,Puzzle,Puzzle
0405,Hat Trick Hero,ハットトリックヒーロー,タイトー / Taito,SHVC-HT,,1992-03-27,,Sports,Soccer
0406,Hat Trick Hero 2,ハットトリックヒーロー2,タイトー / Taito,SHVC-2Y,,1994-07-29,,Sports,Soccer
0407,Hatayama Hachi no Pro Yakyuu News Jitsmeiban,はた山ハッチのパロ野球ニュース！実名版,エポック社 / アジェンダ / Epoch / Agenda,SHVC-EB,,1993-10-29,,Sports,Baseball
0408,Hayashi Kaihou Kudan no Igo Oodou,林海峯九段の囲碁大道,アスク講談社 / Ask Kodansha,SHVC-AIDJ-JPN,,1996-03-22,,Table Game,Igo
0409,Hayazashi Nidan: Morita Shougi,早指し 二段 森田将棋,セタ / ランダムハウス / Seta / Random House,SHVC-2M,,1993-06-18,,Table Game,Shougi
0410,Hayazashi Nidan: Morita Shougi 2,早指し 二段 森田将棋2,セタ / ランダムハウス / Seta / Random House,SHVC-A2MJ-JPN,,1995-05-26,,Table Game,Shougi
0411,Hebereke no Oishii Puzzle ha Irimasenka,へべれけのおいしいパズルはいりませんか,サンソフト（サン電子） / Sunsoft (Sun Electronics),SHVC-O3,,1994-08-31,,Puzzle,Puzzle
0412,Hebereke no Popoon,へべれけのぽぷーん,サンソフト（サン電子） / Sunsoft (Sun Electronics),SHVC-HU,,1993-12-22,,Puzzle,Matching
0413,Heian Fuuunden,平安風雲伝,日本ソフトシステム / ケイエスエス / Nihon Soft System / KSS,SHVC-AKHJ-JPN,,1995-09-29,,RPG,
0414,Heisei Gunjin Shougi,平成軍人将棋,カロッツェリアジャパン / Carrozzeria Japan,SHVC-AG7J-JPN,,1996-01-26,,Table Game,Shougi
0415,Heisei Inu Monogatari Bow - Pop'n Smash!!,平成イヌ物語バウ ポップンスマッシュ！！,タカラ / Takara,SHVC-QQ,,1994-04-28,,Sports,
0416,Heisei Shin Oni Ga Shima Kouhen,平成 新 鬼ヶ島 後編,任天堂 / パックスソフトニカ / Nintendo / Pax Softonica,SHVC-AO5J-JPN,,1997-12-01,,Visual Novel,
0417,Heisei Shin Oni Ga Shima Zenpen,平成新 鬼ヶ島前編,任天堂 / パックスソフトニカ / Nintendo / Pax Softonica,SHVC-AO4J-JPN,,1997-12-01,,Visual Novel,
0418,Heiwa Pachinko World,平和 パチンコワールド,ショウエイシステム / Shouei System,SHVC-AHWJ-JPN,,1995-02-24,,Gambling,Pachinko
0419,Heiwa Pachinko World 2,平和 パチンコワールド2,ショウエイシステム / Shouei System,SHVC-AWTJ-JPN,,1995-09-29,,Gambling,Pachinko
0420,Heiwa Pachinko World 3,平和 パチンコワールド3,ショウエイシステム / Shouei System,SHVC-A3WJ-JPN,,1996-04-26,,Gambling,Pachinko
0421,Heiwa Parlor! Mini 8 - Pachinko Jikki Simulation Game,平和 パーラー！ミニ8 パチンコ実機シミュレーションゲーム,日本テレネット / Telenet Japan,SHVC-AQUJ-JPN,,1998-01-30,,Gambling,Pachinko
0422,Hello! Pac-Man,ハロー！パックマン,ナムコ / Namcot,SHVC-PN,,1994-08-26,,Platformer,
0423,Herakles no Eikou III - Kamigami no Chinmoku,ヘラクレスの栄光III 神々の沈黙,データイースト / Data East,SHVC-HE,,1992-04-24,,RPG,
0424,Herakles no Eikou IV - Kamigami Kara no Okurimono,ヘラクレスの栄光IV 神々からの贈り物,データイースト / Data East,SHVC-4E,,1994-10-21,,RPG,
0425,Hero Senki - Project Olympus,ヒーロー戦記 プロジェクト オリュンポス,バンプレスト / ウィンキーソフト / Banpresto / Winkysoft,SHVC-HS,,1992-11-20,,RPG,
0426,Hi no Ouji Yamato Takeru,火の皇子 ヤマトタケル,東宝 / マルチメディア インテリジェンス トランスファー（ミット） / TOHO / Multimedia Intelligence Transfer (MIT),SHVC-AYTJ-JPN,,1995-09-29,,RPG,
0427,Higashio Osamu Kanshuu - Super Pro Yakyuu Stadium,東尾 修 監修 スーパープロ野球スタジアム,徳間ジャパンコミュニケーションズ / 徳間書店インターメディア / Tokuma Japan Communications / Tokuma Shoten Intermedia,SHVC-PK,,1993-09-30,,Sports,Baseball
0428,Hiouden - Mamono-tachi Tono Chikai,緋王伝 魔物達との誓い,ウルフチーム（日本テレネット） / Telenet Japan (Wolfteam),SHVC-HR,,1994-02-11,,Strategy,
0429,Hiryu no Ken S - Hyper Version,ハイパーバージョン 飛龍の拳S,カルチャーブレーン / Culture Brain,SHVC-HP,,1992-12-11,,Beat 'em All,
0430,Hiryu no Ken S - Golden Fighter,ゴールデンファイター飛龍の拳S,カルチャーブレーン / Culture Brain,SHVC-HK,,1992-07-31,,Beat 'em All,
0431,Hissatsu Pachinko Collection,必殺パチンココレクション,サンソフト（サン電子） / Sunsoft (Sun Electronics),SHVC-AHPJ-JPN,,1994-10-21,,Gambling,Pachinko
0432,Hissatsu Pachinko Collection 2,必殺パチンココレクション2,サンソフト（サン電子） / Sunsoft (Sun Electronics),SHVC-A2HJ-JPN,,1995-03-24,,Gambling,Pachinko
0433,Hissatsu Pachinko Collection 3,必殺パチンココレクション3,サンソフト（サン電子） / Sunsoft (Sun Electronics),SHVC-A3HJ-JPN,,1995-11-02,,Gambling,Pachinko
0434,Hissatsu Pachinko Collection 4,必殺パチンココレクション4,サンソフト（サン電子） / Sunsoft (Sun Electronics),SHVC-AH4J-JPN,,1996-08-30,,Gambling,Pachinko
0435,Hisshou 777 Fighter - Pachi-Slot Ryuuguu Densetsu,必勝スリーセブンファイター パチスロ竜宮伝説,バップ / パチンコ○秘情報編集部 / VAP (NTV),SHVC-IH,,1994-01-14,,Gambling,Pachinko
0436,Hisshou 777 Fighter 2 - Pachi-Slot Maruhi Jouhou,必勝スリーセブンファイター2 パチスロ○秘情報,バップ / パチンコ○秘情報編集部 / VAP (NTV),SHVC-72,,1994-08-19,,Gambling,Pachinko
0437,Hisshou 777 Fighter 3 - Kokuryuu Ou no Fukkatsu,必勝777 FIGHTER III 黒竜王の復活 スリーセブンファイター,バップ / パチンコ○秘情報編集部 / VAP (NTV),SHVC-A73J-JPN,,1995-09-15,,Gambling,Pachinko
0438,Hisshou Pachi-Slot Fun,必勝パチスロファン,プランニングオフィスワダ（パウ） / Planning Office WADA (POW),SHVC-APNJ-JPN,,1994-12-16,,Gambling,Pachinko
0439,Hokuto no Ken 5 - Tenma Ryuuseiden Ai Zetsu Shou,北斗の拳5 天魔流星伝 哀・絶章,東映動画 / ショウエイシステム / Toei Animation / Shouei System,SHVC-K5,,1992-07-10,,RPG,
0440,Hokuto no Ken 6 - Gekitou Denshou Ken Haou heno Michi,北斗の拳6 激闘伝承拳 覇王への道,東映動画 / ショウエイシステム / Toei Animation / Shouei System,SHVC-K6,,1992-11-20,,Fighting,Versus
0441,Hokuto no Ken 7 - Seiken Retsuden - Den Shou Sha he no Michi,北斗の拳7 聖拳列伝 伝承者への道,東映動画 / ショウエイシステム / Toei Animation / Shouei System,SHVC-K7,,1993-12-24,,Fighting,Versus
0442,Holy Striker,ホーリーストライカー,ヘクト / アクシズ アート アミューズ / Hector / Axes Art Amuse,SHVC-AI,,1993-12-17,,Puzzle,
0443,Holy Umbrella - Dondera no Mubo!!,ホーリーアンブレラ ドンデラの無謀！！,ナグザット / Naxat Soft,SHVC-ADQJ-JPN,,1995-09-29,,RPG,Action
0444,Home Alone,ホーム・アローン,アルトロン / Altron / Imagineering,SHVC-HA,SNS-HA,1992-08-11,1991-12-01,Platformer,
0445,Honkaku Mahjong - Tetsuman,本格麻雀 徹萬,ナグザット / Naxat Soft,SHVC-OM,,1993-09-24,,Table Game,Mahjong
0446,Honkaku Mahjong - Tetsuman II,本格麻雀 徹萬II,ナグザット/ギャップス / Naxat Soft / GAPS,SHVC-AOXJ-JPN,,1994-10-21,,Table Game,Mahjong
0447,Honkaku Shougi - Fuuunji Ryuuou,本格将棋 風雲児 龍王,ヴァージンゲーム / Virgin Games,SHVC-AV3J-JPN,,1994-12-22,,Table Game,Shougi
0448,Honkakuha Igo: Gosei,本格派囲碁 碁聖,タイトー / Taito,SHVC-AKWJ-JPN,,1994-10-28,,Table Game,Igo
0449,Honke Hanafuda,本家花札,イマジニアズーム / Imagineer-Zoom,SHVC-87,,1994-09-22,,Table Game,Shougi
0450,Honke Sankyo Fever - Jikki Simulation,本家SANKYO FEVER 実機シミュレーション,デンズ（アイ・ティー・シー） / 三共 / ティー・イー・エヌ / DEN'Z(ITC) / Sankyo / T・E・N,SHVC-AFPJ-JPN,,1995-06-10,,Gambling,Pachinko
0451,Honke Sankyo Fever - Jikki Simulation 2,本家Sankyo FEVER 2 実機シミュレーション,ボスコミュニケーションズ / 三共 / ティー・イー・エヌ / Boss Communications / Sankyo / T・E・N / Japan Vistec,SHVC-A33J-JPN,,1995-12-15,,Gambling,Pachinko
0452,Honke Sankyo Fever 3 - Jikki Simulation,本家Sankyo FEVER 3 実機シミュレーション,ボスコミュニケーションズ / 三共 / ティー・イー・エヌ / Boss Communications / Sankyo / T・E・N,SHVC-A37J-JPN,,1996-08-31,,Gambling,Pachinko
0453,Honoo no Doukyuuji - Dodge Danpei,炎の闘球児 ドッジ弾平,サンソフト（サン電子） / Sunsoft (Sun Electronics),SHVC-DD,,1992-07-31,,Sports,Dodgeball
0454,Hook,フック,エピック・ソニーレコード （ソニー・ミュージックエンタテインメント） / 浮世亭 / Epic Sony Records / Ukiyotei,SHVC-HO-(ESPG46),SNS-HO,1992-07-17,1992-01-01,Platformer,
0455,Hoshi no Kirby 3,星のカービィ3,任天堂 / ハル研究所 / Nintendo / HAL Laboratory,SHVC-AFJJ-JPN,SNS-AFJE-USA,1998-03-26,1998-03-27,Platformer,
0456,Hoshi no Kirby Super Deluxe,星のカービィ スーパーデラックス,任天堂 / ハル研究所 / Nintendo / HAL Laboratory,SHVC-AKFJ-JPN,SNS-AKFE-USA,1996-03-21,1996-09-20,Platformer,
0457,Houkago in Beppin Jogakuin,放課後 in Beppin 女学院,イマジニアズーム / Imagineer-Zoom,SHVC-ABEJ-JPN,,1995-02-03,,Strategy,
0458,Hourai Gakuen no Bouken! - Tenkousei Scramble,蓬莱学園の冒険！転校生スクランブル,J・ウイング / ダイナマイト / J-WING / Dynamite,SHVC-AJHJ-JPN,,1996-04-19,,RPG,
0459,Human Baseball,ヒューマンベースボール,ヒューマン / フィールド / Human / Field,SHVC-HB,,1993-08-06,,Sports,Baseball
0460,Human Grand Prix,ヒューマングランプリ,ヒューマン / Human,SHVC-HG,,1992-11-20,,Racing,Formule 1
0461,Human Grand Prix 2,ヒューマングランプリ2,ヒューマン / Human,SHVC-2G,,1993-12-24,,Racing,Formule 1
0462,Human Grand Prix 3 - F1 Triple Battle,ヒューマングランプリ3 F1トリプルバトル,ヒューマン / Human,SHVC-AGXJ-JPN,,1994-09-30,,Racing,Formule 1
0463,Human Grand Prix IV - F1 Dream Battle,ヒューマングランプリ4 F1ドリームバトル,ヒューマン / Human,SHVC-AG4J-JPN,,1995-08-25,,Racing,Formule 1
0464,Hyper Iria,ハイパーイリア,バンプレスト / Banpresto / Crowd / Zeiram Project,SHVC-AZEJ-JPN,,1995-10-13,,Platformer,
0465,Hyper Zone,ハイパーゾーン,ハル研究所（HALKEN） / HAL Laboratory,SHVC-HZ,,1991-08-31,,SHMUP,Behind
0466,Idea no Hi,イデアの日,ショウエイシステム / Shouei System,SHVC-ID,,1994-03-18,,RPG,
0467,Igo Club,囲碁倶楽部,ヘクト / Hector,SHVC-AIVJ-JPN,,1996-01-26,,Table Game,Igo
0468,Ihatovo Monogatari,イーハトーヴォ物語,ヘクト / Hector,SHVC-H8,,1993-03-05,,RPG,
0469,Ikari no Yousai,怒りの要塞,ジャレコ / デーシーイー / Jaleco / DCE,SHVC-IY,,1993-04-23,,Shooter,360
0470,Illvanian no Shiro - Ruins of Illvanian,イルバニアンの城,日本クラリービジネス / アトリエドゥーブル / Japan Clary Buisness / Atelier Double,SHVC-ARIJ-JPN,,1994-10-28,,Strategy,
0471,Inazuma Serve da!! Super Beach Volley,稲妻サーブだ！ スーパービーチバレー,ヴァージンインタラクティブ エンターテインメント / Virgin Interactive Entertainment,SHVC-AV7J-JPN,,1995-08-04,,Sports,Volleyball
0472,Indiana Jones' Greatest Adventures,インディ・ジョーンズ,ビクターエンタテインメント / ルーカスアーツ / ファクター5 / Victor Entertainment / Lucas Arts / Factor 5,SHVC-AIJJ-JPN,SNS-AIJE-USA,1995-07-28,1994-10-01,Platformer,
0473,International Tennis Tour,インターナショナルテニスツアー,マイクロワールド / Micro World / Loriciel,SHVC-IT,SNS-IT,1993-03-26,1993-01-01,Sports,Tennis
0474,Ippatsu Gyakuten!! Keiba Keirin Kyoutei,一発逆転！！ 競馬・競輪・競艇,プランニングオフィスワダ（パウ） / Planning Office WADA (POW) / Eleca,SHVC-AUMJ-JPN,,1996-04-26,,Sports,Horse
0475,Iron Commando - Kotetsu no Senshi,鋼鉄の戦士 アイアンコマンドー,パック・イン・ビデオ / ポッポ / アーケードゾーン / Pack-in-Video / Poppo / Arcade Zone,SHVC-AICJ-JPN,,1995-02-10,,Beat 'em All,
0476,Iso Zuri Ritou Hen,磯釣り 離島篇,パック・イン・ビデオ / Pack-in-Video,SHVC-A5IJ-JPN,,1996-01-19,,Sports,Pêche
0477,Itadaki Street 2 - Neon Sign ha Bara Iro ni,いただきストリート2 ネオンサインはバラ色に,エニックス / トムキャットシステム / Enix / Tomcat System,SHVC-I2,,1994-02-26,,Table Game,
0478,Itoi Shigesato no Bass Tsuri No. 1,糸井重里のバス釣りNo.1,任天堂 / ハル研究所 / ダイス / Nintendo / HAL Laboratory / Dice / Shigesato Itoi,SHVC-ZBPJ-JPN,,1997-02-21,,Sports,Pêche
0479,Itou Hate Rokudan no Shougi Doujou,伊藤果六段の将棋道場,アスク講談社 / Ask Kodansha,SHVC-Q2,,1994-02-04,,Table Game,Shougi
0480,J League '96 Dream Stadium,Jリーグ'96 ドリームスタジアム,ハドソン / Hudson,SHVC-AJ6J-JPN,,1996-06-01,,Sports,Soccer
0481,J League Soccer Prime Goal,Jリーグサッカー プライムゴール,ナムコ / Namcot,SHVC-JE,,1993-08-06,,Sports,Soccer
0482,J League Soccer Prime Goal 2,Jリーグサッカー プライムゴール2,ナムコ / Namcot,SHVC-2H,,1994-08-05,,Sports,Soccer
0483,J League Soccer Prime Goal 3,Jリーグサッカー プライムゴール3,ナムコ / Namco,SHVC-AJ3J-JPN,,1995-08-04,,Sports,Soccer
0484,J League Super Soccer,Jリーグ スーパーサッカー,ハドソン / Hudson,SHVC-VX,,1994-03-18,,Sports,Soccer
