Titre en anglais,Titre en Japonais,Editeurs,Numéro de série,Date,Main Category,Sub Category
Caravan Shooting Collection,キャラバン シューティングコレクション,ハドソン / テクモ / Hudson / Tecmo,SHVC-AS8J-JPN,1995-07-07,SHMUP,Vertical
Card Master - Rimusaria no Fuuin,カードマスター リムサリアの封印,ハル研究所（HALKEN） / HAL Laboratory,SHVC-RF,1992-03-27,RPG,
Carrier Aces,キャリアエース,ユーメディア（アローマ） / Yumedia (Aroma) / Gametek / Cyber Soft,SHVC-ACAJ-JPN / SNS-ACAE-USA,1995-07-28 / 1995-07-27,Simulation,Avion
Casper,キャスパー,"日本ソフトシステム, ケイエスエス / Nihon Soft System, KSS",SHVC-AC4J-JPN / SNS-AXCE-USA,1997-03-14 / 1996-12-01,Platformer,
CB Chara Wars - Ushinawareta Gag,CBキャラウォーズ 失われたギャ〜グ,バンプレスト / アルマニック / Banpresto / Almanic,SHVC-CV,1992-08-28,Beat 'em All,
Champions World Class Soccer,チャンピオンズ ワールドクラスサッカー,アクレイムジャパン / Acclaim Japan / Park Place Prodictions,SHVC-8W / SNS-8W,1994-03-25 / 1994-04-01,Sports,Soccer
Chaos Seed - Fuusui Kairouki,カオスシード 風水回廊記,タイトー / ネバーランド / Taito / Neverland,SHVC-AAHJ-JPN,1996-03-15,RPG,
Chibi Maruko Chan - Mezase! Minami no Island!!,ちびまる子ちゃん めざせ！南のアイランド！！,コナミ / Konami,SHVC-AT8J-JPN,1995-12-01,Puzzle,
Chibi Maruko-chan - Harikiri 365 Nichi no Maki,ちびまる子ちゃん「はりきり365日」の巻,エポック社 / 酒田エス・エー・エス / Epoch / Sakata SAS,SHVC-GO,1991-12-13,Table Game,
Chinhai,陳牌,バンプレスト / バンプレ企画 / Banpresto,SHVC-APEJ-JPN,1995-09-22,Puzzle,
Choplifter 3 - Rescue Survive,チョップリフターIII,ビクターエンタテインメント / ブロダーバンド / Victor Entertainment / Beam Software / Broderbund,SHVC-3C,1994-09-09,SHMUP,Horizontal
Chou Mahou Tairiku Wozz,ウォズ 超魔法大陸WOZZ,ビー・ピー・エス / レッド / Bullet-Proof Software / RED,SHVC-AWOJ-JPN,1995-08-04,RPG,
Chou Makai Taisen! Doraboc Chan,超魔界大戦！どらぼっちゃん,ナグザット / レッド / Naxat Soft / Red,SHVC-DO,1993-03-19,RPG,Action
Chou Makaimura,超魔界村,カプコン / Capcom,SHVC-CM,1991-10-04,Platformer,Action
Chouaniki - Bakuretsu Rantou Hen,超兄貴 ~爆烈乱闘篇~,メサイヤ（日本コンピューターシステム） / Masiya (NCS),SHVC-AANJ-JPN,1995-09-22,Fighting,Versus
Choujikuu Yousai Macross - Scrambled Valkyrie,超時空要塞マクロス スクランブルバルキリー,"バンプレスト, ザムス/ウィンキーソフト / Banpresto, Zamuse / Winkysoft",SHVC-M9,1993-10-29,SHMUP,Horizontal
Choukou Goukami Xardion,超攻合神 サーディオン,アスミック / Asmik,SHVC-XA / SNS-XA,1992-03-20 / 1992-01-01,Platformer,Action
Chrono Trigger,クロノ・トリガー,スクウェア / Square,SHVC-ACTJ-JPN / SNS-ACTE-USA,1995-03-11 / 1995-09-27,RPG,
Circuit USA,サーキットUSA,ヴァージンインタラクティブ エンターテインメント / Virgin Interactive Entertainment,SHVC-AKPJ-JPN / SNS-AKPE-USA,1995-06-30,Racing,NASCAR
Civilization - Sekai Shichi Daibunmei,シヴィライゼーション 世界七大文明,アスミック / マイクロプローズ / Asmik / Micro Prose,SHVC-EQ / SNS-EQ,1994-10-07,Simulation,Histoire
Classic Road,クラシック・ロード,ビクターエンタテインメント / イスコ/プログレス / Victor Entertainment / ISCO / Progress,SHVC-V7,1993-10-29,Sports,Horse
Classic Road 2,クラシックロードII,ビクターエンタテインメント / イスコ / プログレス / Victor Entertainment / ISCO / Progress,SHVC-AV5J-JPN,1995-02-24,Sports,Horse
Clock Tower,クロックタワー,ヒューマン / Human,SHVC-AJEJ-JPN,1995-09-14,Visual Novel,
Clock Works,クロックワークス,徳間ジャパンコミュニケーションズ / 徳間書店 / アクシズ アート アミューズ / Tokuma Japan Communications / Tokuma Shoten / Axes Art Amuse / Spectrum HoloByte,SHVC-AQWJ-JPN,1995-12-08,Puzzle,
Columns,コラムス,メディアファクトリー / マリーガル/セガ・エンタープライゼス / Media Factory / Marigul / Sega Enterprises,SHVC-BCLJ-JPN,1999-08-01,Puzzle,Matching
Computer Nouryoku Kaiseki - Ultra Baken,コンピューター能力解析 ウルトラ馬券,カルチャーブレーン / Culture Brain,SHVC-AUBJ-JPN,1995-05-26,Sports,Horse
Contra Spirits,魂斗羅スピリッツ（コントラ）,コナミ / コナミ エンタテイメント / Konami / Konami Entertainment,SHVC-CS,1992-02-28,Run n' Gun,
Conveni Wars Barcode Battler Senki - Super Senshi Shutsugeki Seyo!,バーコードバトラー 戦記 スーパー戦士 出撃せよ！,エポック社 / 酒田エス・エー・エス / Epoch / Sakata Sas,SHVC-B5,1993-05-14,Strategy,
Cool Spot,クールスポット,ヴァージンゲーム / Virgin Games,SHVC-C8 / SNS-C8,1993-12-10 / 1993-09-01,Platformer,
Coron Land,ころんらんど,ユーメディア（アローマ） / Yumedia (Aroma),SHVC-ACLJ-JPN,1995-08-25,Puzzle,Action
