uid,Titre en anglais,Titre en Japonais,Editeurs,Numéro de série,Date,Main Category,Sub Category
25a56c58-a38f-42bf-9e6a-d570a2e0b3ee,Nigel Mansell's F1 Challenge,ナイジェル・マンセルF1チャレンジ,インフォコムシステムズ / infocom / Gremlin Graphics Software,SHVC-NC,1993-03-19,Racing,Formule 1
0e86ed7c-865c-4285-a786-e1c2a780ebe5,Ninja Ryukenden Tomoe,忍者龍剣伝 巴,テクモ / Tecmo,SHVC-ANRJ-JPN / SNS-ANRE-USA,1995-08-11,Platformer,
a6250145-7533-4038-af5f-124f2c137dc5,Nintama Rantarou,忍たま乱太郎,カルチャーブレーン / Culture Brain,SHVC-ANTJ-JPN,1995-07-28,Platformer,
9cf51174-e788-4b73-a38b-ea8200c68a0a,Nintama Rantarou 2,忍たま乱太郎2,カルチャーブレーン / Culture Brain,SHVC-A2NJ-JPN,1996-03-29,Platformer,
d388b4b5-e1a8-468d-93fc-88f1c49df601,Nintama Rantarou 3,忍たま乱太郎3,カルチャーブレーン / Culture Brain,SHVC-AEXJ-JPN,1997-02-28,Platformer,
2748c5c9-5458-4473-88f0-992673f01ebc,Nintama Rantarou Puzzle: Ninjutsu Gakuen Puzzle no Maki,パズル忍たま乱太郎 〜忍術学園パズル大会の段〜,カルチャーブレーン / Culture Brain,SHVC-ANVJ-JPN,1996-06-28,Puzzle,Matching
d50a1c3c-6a34-4f30-8038-bb857ac375c6,Nintama Rantarou Special,忍たま乱太郎すぺしゃる,カルチャーブレーン / Culture Brain,SHVC-ANXJ-JPN,1996-08-09,Aventure,
d595e8ec-2be7-49c9-bdd6-d713c4cde601,Nishijin Pachinko Monogatari,西陣パチンコ物語,"日本ソフトシステム, ケイエスエス / Nihon Soft System, KSS",SHVC-ANPJ-JPN,1995-06-23,Gambling,Pachinko
1d5881e4-2214-48f0-b982-7f81250abf9a,Nishijin Pachinko Monogatari 2,西陣パチンコ物語2,"日本ソフトシステム, ケイエスエス / Nihon Soft System, KSS",SHVC-AN5J-JPN,1996-06-28,Gambling,Pachinko
eb41db88-200b-4214-9f18-d124951f3674,Nishijin Pachinko Monogatari 3,西陣パチンコ3,日本ソフトシステム / ケイエスエス / Nihon Soft System / KSS,SHVC-AI3J-JPN,1996-12-20,Gambling,Pachinko
14d5cb34-78a8-416a-b900-25a7efc4d6cd,Nitro Punks - Might Heads,ニトロパンクス マイトヘッズ,アイレム / IREM,SHVC-NP,1993-07-30,Platformer,
f1e37f64-a286-48a9-9989-5d6318440d27,Nobuhiro Takeda no Super Cup Soccer,武田修宏のスーパーカップサッカー,ジャレコ / Jaleco,SHVC-JV,1993-11-26,Sports,Soccer
